,filename,tot_seconds,netpos_seconds,netpos_prop
168,7703641,241,16,0.06639004149377593
169,21419316,118,73,0.6186440677966102
170,7053720,232,46,0.19827586206896552
171,39728170,391,141,0.36061381074168797
172,45677150,283,44,0.15547703180212014
173,55694343,396,185,0.4671717171717172
174,2069728,193,58,0.3005181347150259
175,58786205,344,9,0.02616279069767442
176,20481724,109,70,0.6422018348623854
177,34055342,480,25,0.052083333333333336
178,51155053,351,104,0.2962962962962963
179,7178707,265,0,0.0
180,48521546,357,169,0.4733893557422969
181,39133882,81,27,0.3333333333333333
182,5655801,526,127,0.2414448669201521
183,22724957,238,67,0.2815126050420168
184,53448699,520,194,0.3730769230769231
185,19593547,392,177,0.45153061224489793
186,4010487,145,-20,-0.13793103448275862
187,4284663,141,52,0.36879432624113473
188,3325149,391,113,0.289002557544757
189,34027109,408,91,0.22303921568627452
190,71022162,520,196,0.3769230769230769
191,67151159,283,118,0.4169611307420495
192,32599997,202,46,0.22772277227722773
193,39209306,301,76,0.25249169435215946
194,23445160,266,64,0.24060150375939848
195,30861227,334,95,0.2844311377245509
196,44648000,330,111,0.33636363636363636
197,25631428,362,89,0.24585635359116023
198,43610577,232,17,0.07327586206896551
199,50955550,337,116,0.34421364985163205
200,28072645,385,98,0.2545454545454545
201,18516950,334,20,0.059880239520958084
202,14346055,236,69,0.2923728813559322
203,25431227,210,-9,-0.04285714285714286
204,37968831,267,45,0.16853932584269662
205,19303700,397,-61,-0.15365239294710328
206,45076924,420,84,0.2
207,28319682,384,84,0.21875
208,16015162,242,29,0.11983471074380166
209,4913902,408,51,0.125
210,33411451,313,155,0.4952076677316294
211,38608626,235,37,0.1574468085106383
212,44736276,314,45,0.14331210191082802
213,18154549,219,62,0.2831050228310502
214,12043402,226,-100,-0.4424778761061947
215,36130889,117,15,0.1282051282051282
216,3409342,295,84,0.2847457627118644
217,21340495,485,156,0.3216494845360825
218,36047709,221,153,0.6923076923076923
219,17018746,224,149,0.6651785714285714
220,11718455,257,49,0.19066147859922178
221,11118978,322,80,0.2484472049689441
222,40941797,143,16,0.11188811188811189
223,15023879,535,155,0.2897196261682243
224,25200693,105,1,0.009523809523809525
225,64135316,56,18,0.32142857142857145
226,51001784,316,144,0.45569620253164556
227,14814482,498,121,0.2429718875502008
228,11785775,247,46,0.1862348178137652
229,27974152,171,50,0.29239766081871343
230,2002030,214,17,0.0794392523364486
231,5312055,294,34,0.11564625850340136
232,17104364,159,27,0.16981132075471697
233,26317873,511,87,0.17025440313111545
234,31029419,519,162,0.31213872832369943
235,26967880,344,71,0.2063953488372093
236,29169064,232,79,0.34051724137931033
237,58857860,319,-41,-0.12852664576802508
238,14913321,180,19,0.10555555555555556
239,21484541,420,96,0.22857142857142856
240,30262428,147,56,0.38095238095238093
241,4556893,340,230,0.6764705882352942
242,20223347,112,33,0.29464285714285715
243,32580515,224,35,0.15625
244,19161090,379,-7,-0.018469656992084433
245,41299295,382,130,0.3403141361256545
