filename,tot_seconds,netpos_seconds,netpos_prop,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike
12847228,382,34,0.0890052356020942,508787.0,10881.0,4575.0,884.0,25325.0,949.0,0.0,25.0,1977.0,0.0
42806782,248,41,0.1653225806451612,2671647.0,14069.0,4817.0,45149.0,233869.0,10573.0,0.0,13.0,259632.0,0.0
6223499,284,-36,-0.1267605633802817,833044.0,11024.0,3794.0,23766.0,17848.0,4850.0,0.0,7.0,5974.0,0.0
15885268,339,44,0.1297935103244837,948976.0,17352.0,2571.0,3067.0,4815.0,903.0,0.0,0.0,24686.0,0.0
1399773,189,106,0.5608465608465608,857518.0,10661.0,2513.0,19151.0,10970.0,5975.0,0.0,11.0,2324.0,0.0
15523382,485,48,0.0989690721649484,561424.0,11802.0,3735.0,1197.0,3053.0,571.0,0.0,0.0,5510.0,0.0
65057749,566,292,0.5159010600706714,2347175.0,13748.0,3216.0,10546.0,43907.0,6824.0,0.0,34.0,104089.0,0.0
43554293,382,26,0.0680628272251308,1415376.0,11997.0,6112.0,19330.0,66092.0,10656.0,0.0,15.0,94528.0,0.0
46324219,323,47,0.1455108359133126,1292723.0,11623.0,2476.0,24569.0,66613.0,13217.0,0.0,12.0,90036.0,0.0
37404066,240,134,0.5583333333333333,3414683.0,13045.0,9277.0,176760.0,226071.0,24803.0,0.0,4.0,189325.0,0.0
5180773,510,160,0.3137254901960784,483714.0,9944.0,2763.0,1679.0,6349.0,301.0,0.0,13.0,131.0,0.0
57998607,380,-45,-0.1184210526315789,,,,,,,,,,
60985327,556,194,0.3489208633093525,2094731.0,11988.0,3065.0,7892.0,35822.0,4406.0,0.0,37.0,80703.0,0.0
23723706,480,7,0.0145833333333333,1962340.0,9967.0,3666.0,2192.0,2492.0,430.0,0.0,44.0,7597.0,0.0
16819547,171,12,0.0701754385964912,2006274.0,11209.0,13197.0,73084.0,107444.0,32944.0,0.0,0.0,57546.0,0.0
53760286,335,166,0.4955223880597015,1635846.0,23622.0,9797.0,15717.0,13581.0,12171.0,0.0,0.0,66193.0,0.0
22281330,363,93,0.256198347107438,2014006.0,11328.0,3058.0,2448.0,8131.0,782.0,0.0,11.0,32682.0,0.0
29581537,386,142,0.3678756476683937,497076.0,9461.0,2434.0,2177.0,2071.0,380.0,0.0,0.0,6910.0,0.0
43982594,334,31,0.092814371257485,1441059.0,11164.0,5206.0,14567.0,55492.0,3239.0,0.0,15.0,89044.0,0.0
16060399,449,67,0.1492204899777283,3011186.0,13429.0,5040.0,261586.0,99580.0,98209.0,0.0,0.0,191962.0,0.0
35617921,453,68,0.1501103752759381,1398409.0,9328.0,7534.0,12984.0,17758.0,11419.0,0.0,19.0,21201.0,0.0
29744363,284,49,0.1725352112676056,620821.0,9984.0,3753.0,3342.0,482.0,908.0,0.0,82.0,5743.0,0.0
4111092,319,92,0.2884012539184953,414523.0,9103.0,2011.0,3846.0,14690.0,616.0,0.0,76.0,165.0,0.0
33615189,220,4,0.0181818181818181,1969310.0,9971.0,4367.0,36311.0,37128.0,32715.0,0.0,52.0,48804.0,0.0
20346698,325,32,0.0984615384615384,474359.0,9000.0,5073.0,2746.0,1412.0,528.0,0.0,0.0,3341.0,0.0
3968690,309,10,0.0323624595469255,387521.0,9349.0,5244.0,15164.0,9380.0,5102.0,0.0,32.0,2557.0,0.0
7878759,465,36,0.0774193548387096,1050973.0,13738.0,2589.0,2579.0,230.0,378.0,0.0,0.0,6319.0,0.0
68855807,267,187,0.700374531835206,1094234.0,9877.0,2410.0,34870.0,71141.0,10372.0,0.0,46.0,109850.0,0.0
26469466,152,-21,-0.1381578947368421,727692.0,10137.0,11711.0,2144.0,254.0,213.0,0.0,0.0,3652.0,0.0
19345053,354,-6,-0.0169491525423728,548677.0,9911.0,2210.0,1107.0,6532.0,506.0,0.0,64.0,9754.0,0.0
4435048,90,-17,-0.1888888888888888,4331700.0,8599.0,3261.0,13121.0,822.0,3251.0,0.0,0.0,9682.0,0.0
3940606,247,-8,-0.0323886639676113,425867.0,8522.0,1129.0,15346.0,13257.0,4421.0,0.0,44.0,634.0,0.0
16353656,377,90,0.2387267904509283,779135.0,10230.0,3205.0,5117.0,55833.0,678.0,0.0,0.0,34207.0,0.0
29461756,376,92,0.2446808510638297,358160.0,9642.0,1977.0,14921.0,3513.0,1456.0,0.0,0.0,5467.0,0.0
50329638,388,159,0.4097938144329897,1449770.0,21579.0,16356.0,18586.0,26411.0,19344.0,0.0,0.0,73022.0,0.0
11997526,229,64,0.2794759825327511,812582.0,8333.0,1578.0,33579.0,64161.0,9697.0,0.0,4.0,3898.0,0.0
4241782,265,74,0.2792452830188679,1481217.0,9016.0,2424.0,36768.0,24185.0,4382.0,0.0,0.0,15286.0,0.0
50353484,322,20,0.062111801242236,1649950.0,9479.0,5601.0,17593.0,65594.0,3294.0,0.0,11.0,103324.0,0.0
17724506,192,100,0.5208333333333334,1288596.0,8496.0,892.0,14797.0,6078.0,5966.0,0.0,0.0,9232.0,0.0
5514149,262,36,0.1374045801526717,695444.0,8202.0,1672.0,29229.0,47295.0,4492.0,0.0,40.0,6006.0,0.0
5517305,315,34,0.1079365079365079,1104115.0,8253.0,1413.0,30972.0,44093.0,7351.0,0.0,8.0,10728.0,0.0
16259705,410,176,0.4292682926829268,842072.0,9451.0,1403.0,2455.0,7412.0,480.0,0.0,0.0,14843.0,0.0
62911314,250,125,0.5,2111584.0,14309.0,6243.0,21804.0,18662.0,20445.0,0.0,0.0,113837.0,0.0
58807071,519,184,0.3545279383429672,1859935.0,12069.0,2343.0,7204.0,29088.0,5608.0,0.0,40.0,67001.0,0.0
30653034,209,-61,-0.291866028708134,540402.0,7931.0,2130.0,1619.0,1456.0,363.0,0.0,65.0,7892.0,0.0
12060593,167,4,0.0239520958083832,4971.0,7490.0,5.0,51.0,7.0,18.0,0.0,0.0,14.0,0.0
26795602,60,-14,-0.2333333333333333,,,,,,,,,,
64830245,215,197,0.916279069767442,205336.0,8033.0,1680.0,5701.0,14549.0,1092.0,0.0,0.0,23854.0,0.0
13566470,336,46,0.1369047619047619,728507.0,7464.0,1384.0,24457.0,4770.0,5501.0,0.0,35.0,16645.0,0.0
18099072,267,129,0.4831460674157303,8085467.0,7584.0,3057.0,33752.0,5260.0,3663.0,0.0,0.0,39337.0,0.0
14335329,468,127,0.2713675213675213,1031183.0,11757.0,1973.0,2514.0,5401.0,411.0,0.0,0.0,23441.0,0.0
36484126,262,111,0.4236641221374045,1277363.0,7643.0,8015.0,26582.0,176688.0,5392.0,0.0,3.0,140307.0,0.0
67374272,279,44,0.1577060931899641,391598.0,9848.0,7472.0,7141.0,10525.0,831.0,0.0,0.0,31332.0,0.0
16963025,90,-5,-0.0555555555555555,5206958.0,7328.0,5623.0,47291.0,3263.0,6007.0,0.0,0.0,13142.0,0.0
56657814,74,45,0.6081081081081081,1177529.0,8877.0,3495.0,22532.0,13171.0,8327.0,0.0,97.0,67387.0,0.0
32922932,287,112,0.3902439024390244,463845.0,7718.0,2151.0,30763.0,53756.0,4264.0,0.0,49.0,39477.0,0.0
45020985,203,158,0.7783251231527094,2657681.0,8246.0,21273.0,114838.0,153650.0,16364.0,0.0,18.0,148489.0,0.0
61568946,279,100,0.3584229390681003,1357359.0,10017.0,2178.0,5666.0,8508.0,2308.0,0.0,0.0,41755.0,0.0
29353010,350,120,0.3428571428571428,522890.0,7363.0,7055.0,2448.0,1496.0,1597.0,0.0,0.0,7741.0,0.0
11677976,243,24,0.0987654320987654,,,,,,,,,,
18216166,423,144,0.3404255319148936,545201.0,7160.0,1081.0,2796.0,1298.0,417.0,0.0,0.0,2264.0,0.0
30253226,438,67,0.1529680365296803,1263595.0,7434.0,4604.0,3489.0,18047.0,765.0,0.0,33.0,21070.0,0.0
12624042,262,-54,-0.2061068702290076,322530.0,7060.0,5596.0,2467.0,417.0,1204.0,0.0,0.0,1892.0,0.0
8474943,191,9,0.0471204188481675,1361985.0,7014.0,3716.0,14858.0,4406.0,12244.0,0.0,22.0,2438.0,0.0
24087173,71,-60,-0.8450704225352113,537129.0,7179.0,6425.0,1027.0,727.0,730.0,0.0,0.0,3658.0,0.0
69838726,341,90,0.2639296187683284,789721.0,10168.0,4149.0,5061.0,23879.0,9735.0,0.0,84.0,75493.0,0.0
41627198,183,25,0.1366120218579235,1942198.0,8847.0,10286.0,15430.0,11855.0,9130.0,0.0,0.0,68953.0,0.0
4652952,438,16,0.0365296803652968,317979.0,6748.0,1594.0,2912.0,146.0,231.0,0.0,67.0,150.0,0.0
39735015,241,94,0.3900414937759336,1048659.0,6806.0,2926.0,46630.0,79681.0,9302.0,0.0,0.0,67796.0,0.0
11234035,225,77,0.3422222222222222,1398659.0,6971.0,757.0,5241.0,7030.0,1560.0,0.0,69.0,7385.0,0.0
6114216,290,70,0.2413793103448276,323840.0,6650.0,1589.0,15042.0,18373.0,5941.0,0.0,28.0,905.0,0.0
37239262,410,166,0.4048780487804878,612386.0,6969.0,3364.0,46308.0,50606.0,14537.0,0.0,0.0,51761.0,0.0
17710267,344,100,0.2906976744186046,2417969.0,9448.0,4778.0,14520.0,6116.0,8774.0,0.0,0.0,31581.0,0.0
10629817,372,57,0.1532258064516129,829747.0,6637.0,1226.0,15370.0,2097.0,616.0,0.0,51.0,2777.0,0.0
34771307,346,-2,-0.0057803468208092,2245933.0,9617.0,4046.0,3832.0,12227.0,3014.0,0.0,8.0,43698.0,0.0
52332887,444,232,0.5225225225225225,2841479.0,9393.0,3391.0,9186.0,36014.0,5361.0,0.0,17.0,84607.0,0.0
18782281,261,55,0.210727969348659,409637.0,6608.0,2124.0,2583.0,659.0,342.0,0.0,0.0,2439.0,0.0
11109387,216,8,0.037037037037037,466602.0,6810.0,1708.0,3690.0,815.0,2170.0,0.0,0.0,2540.0,0.0
59267815,191,131,0.6858638743455497,403694.0,6689.0,1598.0,5277.0,2924.0,2495.0,0.0,0.0,10483.0,0.0
62218716,280,116,0.4142857142857143,1351526.0,14200.0,3095.0,5393.0,2154.0,1064.0,0.0,0.0,27221.0,0.0
9111799,104,-1,-0.0096153846153846,545506.0,6584.0,4615.0,2558.0,356.0,311.0,0.0,79.0,709.0,0.0
8280986,164,90,0.5487804878048781,404724.0,6531.0,1036.0,10160.0,17116.0,2223.0,0.0,82.0,2282.0,0.0
16432927,428,119,0.2780373831775701,1333268.0,10362.0,4771.0,4070.0,5647.0,3375.0,0.0,0.0,25719.0,0.0
24537892,471,39,0.0828025477707006,658482.0,6484.0,2598.0,2107.0,3492.0,1070.0,0.0,0.0,6046.0,0.0
